Rooms,Area,Decorate,subway,FiveYear,hasLift,TotalPrice,Price,Toward_s,Toward_n,Toward_e,Toward_w,Floor_h,Floor_m,Floor_l,BuyYesrs<3,BuyYesrs_3_5,BuyYesrs_6_10,BuyYesrs>10,ProductHouse
3,121.0,0,0,1,1,385.0,31818.0,1,1,0,0,0,1,0,1,0,0,0,1
2,51.0,1,0,1,0,90.0,17647.0,1,0,0,0,0,1,0,1,0,0,0,1
2,42.0,1,1,1,1,198.0,47142.0,1,0,0,0,0,1,0,1,0,0,0,0
1,49.0,1,0,0,1,115.0,23469.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,0,1,1,160.0,38214.0,1,0,0,0,0,0,1,1,0,0,0,0
2,42.0,1,1,1,1,160.0,38095.0,1,1,0,0,0,0,1,1,0,0,0,0
2,35.0,1,1,0,1,118.0,33714.0,1,0,0,0,0,1,0,1,0,0,0,0
3,89.0,0,0,1,1,278.0,31235.0,1,1,0,0,0,1,0,1,0,0,0,1
3,89.0,0,0,0,1,300.0,33707.0,1,1,0,0,0,1,0,1,0,0,0,1
3,121.0,0,0,1,1,370.0,30578.0,1,1,0,0,0,0,1,1,0,0,0,1
4,89.0,0,0,1,1,280.0,31460.0,1,1,0,0,0,1,0,1,0,0,0,1
2,46.0,1,1,1,1,168.0,36521.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,1,1,1,160.0,38095.0,1,0,0,0,0,1,0,1,0,0,0,0
2,45.0,1,1,0,0,186.0,41333.0,1,1,0,0,1,0,0,1,0,0,0,0
2,50.0,1,1,0,1,160.0,32000.0,1,0,0,0,1,0,0,1,0,0,0,0
2,55.0,1,1,0,1,150.0,27272.0,1,0,0,0,0,1,0,1,0,0,0,1
2,42.0,1,1,1,1,166.0,39523.0,0,0,1,0,0,1,0,1,0,0,0,0
2,37.0,1,1,1,1,135.0,36486.0,1,1,0,0,1,0,0,1,0,0,0,0
2,42.0,1,0,1,1,133.0,31666.0,1,0,0,0,0,0,1,1,0,0,0,0
2,37.0,1,1,1,1,115.0,31081.0,1,1,0,0,1,0,0,1,0,0,0,0
